mxnet,tensorflow,seed,dim
0.005803999999999476,0.00992100000000029,0,50
0.00527000000000033,0.0074380000000005,0,50
0.005641000000000673,0.007287999999999961,0,50
0.004747000000000057,0.007160999999999973,1,50
0.004356999999999722,0.006391000000000702,1,50
0.004501999999999562,0.006629000000000218,1,50
0.005023999999999695,0.00619800000000037,2,50
0.004980999999999902,0.006717000000000084,2,50
0.004160999999999859,0.006311000000000178,2,50
0.004260999999999626,0.006107999999999336,3,50
0.004418999999999507,0.006321999999999939,3,50
0.00479099999999999,0.006146000000000207,3,50
0.004192999999999891,0.006613999999999898,4,50
0.004459000000000657,0.006427000000000405,4,50
0.004452999999999818,0.006228000000000122,4,50
0.004207000000000072,0.006171000000000149,5,50
0.004554000000000613,0.005993000000000137,5,50
0.004271999999999387,0.005933999999999884,5,50
0.004089000000000453,0.006089999999999485,6,50
0.00431699999999946,0.0060029999999997585,6,50
0.0053709999999993485,0.006257999999999875,6,50
0.004078999999999944,0.006201999999999153,7,50
0.0042119999999998825,0.0059829999999996275,7,50
0.004259999999999486,0.005957999999999686,7,50
0.004126000000000296,0.006015999999999799,8,50
0.004213000000000022,0.005999999999999339,8,50
0.004258000000000095,0.00604700000000058,8,50
0.003986000000000267,0.006018000000000079,9,50
0.004268999999999856,0.005939999999999834,9,50
0.00418300000000027,0.005927999999999933,9,50
0.004076999999999664,0.006056000000000061,10,50
0.004242000000000523,0.005943000000000254,10,50
0.004297000000000217,0.005956999999999546,10,50
0.003944999999999865,0.0059389999999996945,11,50
0.004233999999999405,0.0059269999999997935,11,50
0.004202000000000261,0.005900999999999712,11,50
0.004035000000000011,0.005938000000000443,12,50
0.0045960000000002665,0.006245999999999974,12,50
0.004356000000000471,0.006315999999999988,12,50
0.003991000000000078,0.005904000000000131,13,50
0.004090000000000593,0.0057920000000004634,13,50
0.004166000000000558,0.00586099999999945,13,50
0.004019000000000439,0.005817000000000405,14,50
0.0041560000000000485,0.005759000000000292,14,50
0.004013000000000488,0.005711000000000688,14,50
0.004011000000000209,0.006016999999999939,15,50
0.00418099999999999,0.00587599999999977,15,50
0.004187999999999192,0.005983000000000516,15,50
0.0043839999999999435,0.005982000000000376,16,50
0.004169000000000089,0.005829999999999558,16,50
0.004216999999999693,0.0057909999999994355,16,50
