,mxnet,tensorflow,seed,dim
0,0.014359901000000619,0.13819308599999935,0,20000
1,0.00945526399999963,0.004844268999999457,0,20000
2,0.00959375899999948,0.004829306999999616,0,20000
3,0.009517296000000286,0.0045633200000008145,0,20000
4,0.009758519000000021,0.00461459099999928,0,20000
5,0.0092794499999993,0.004465041999999642,1,20000
6,0.009262756000000039,0.004423271000000284,1,20000
7,0.009220541999999554,0.004378726999998861,1,20000
8,0.00928388899999888,0.0043252020000004165,1,20000
9,0.009351708000000514,0.004513635000000349,1,20000
10,0.009405468000000639,0.004634463000000366,2,20000
11,0.009709521999999637,0.004617938000000876,2,20000
12,0.00941003500000015,0.004599973999999563,2,20000
13,0.00932746499999837,0.00470541800000035,2,20000
14,0.009388141000000516,0.004625663000000557,2,20000
15,0.009223728000000264,0.004510890999998907,3,20000
16,0.00894318000000105,0.0044682269999984925,3,20000
17,0.009099280000000931,0.004470680000000726,3,20000
18,0.009247339999999937,0.004468721999998593,3,20000
19,0.00907978399999898,0.004454025000001138,3,20000
20,0.009523090000000067,0.004520669999999782,4,20000
21,0.009346637000000158,0.004588112000000422,4,20000
22,0.009437271999999552,0.004677690999999484,4,20000
23,0.009278829999999516,0.004605979999999121,4,20000
24,0.009337694000000951,0.004574536999999879,4,20000
25,0.009368760999999282,0.004453427000001398,5,20000
26,0.009115512999999353,0.004337679000000705,5,20000
27,0.01493758199999995,0.004473223999999831,5,20000
28,0.009848418000000692,0.004824818999999536,5,20000
29,0.01001131700000002,0.004773681999999724,5,20000
30,0.01034859099999963,0.004926497999999668,6,20000
31,0.010258681999999908,0.004964945999999415,6,20000
32,0.01045689900000113,0.004952494999999502,6,20000
33,0.010084832999998739,0.004950002000001064,6,20000
34,0.010054436000000777,0.004956394000000586,6,20000
35,0.009836300999999992,0.00484170000000006,7,20000
36,0.009719765999999908,0.004851109999998826,7,20000
37,0.009762066999998709,0.004838314000000565,7,20000
38,0.009987867999999622,0.004854639000001271,7,20000
39,0.010167359999998737,0.004867021000000804,7,20000
40,0.01015511099999955,0.0201293249999992,8,20000
41,0.011435061000000246,0.005035493999999474,8,20000
42,0.00948374900000104,0.004967053999999749,8,20000
43,0.009307968999999972,0.004796940000000305,8,20000
44,0.009728718999999941,0.0048954390000002235,8,20000
45,0.00953864800000126,0.0050624099999989625,9,20000
46,0.00956323800000014,0.004912009999999967,9,20000
47,0.00943848699999883,0.004892220000000336,9,20000
48,0.009437149000000034,0.004898109000000872,9,20000
49,0.009754309999999933,0.004875446999999866,9,20000
50,0.009788949000000713,0.004864498999999967,10,20000
51,0.009506304999998605,0.004938614000000285,10,20000
52,0.009534917999999948,0.00482197200000023,10,20000
53,0.012229731999999771,0.005872601000000088,10,20000
54,0.009930211000000355,0.004824394999999981,10,20000
55,0.009549543000000327,0.004849398999999366,11,20000
56,0.009664769999998768,0.0049991309999999345,11,20000
57,0.00937056799999958,0.004833175999999995,11,20000
58,0.009753690000000148,0.004893164000000283,11,20000
59,0.009741983000001397,0.004921904999999782,11,20000
60,0.01011689899999979,0.00502251999999892,12,20000
61,0.0094698649999998,0.004879791000000466,12,20000
62,0.009788795000000405,0.0049923730000003275,12,20000
63,0.009739237999999872,0.004906436000000625,12,20000
64,0.009719283999999107,0.004898120000000006,12,20000
65,0.00966307800000088,0.004758319000000455,13,20000
66,0.009842541999999455,0.004967067999999131,13,20000
67,0.009908472000001112,0.004991047000000748,13,20000
68,0.009271739000000778,0.0050229389999998375,13,20000
69,0.009268090999999146,0.005007206000000153,13,20000
70,0.009719029999999407,0.004917519000001036,14,20000
71,0.009723430999999394,0.004901303000000468,14,20000
72,0.009633322000000888,0.004948074999999719,14,20000
73,0.009522823999999375,0.004967712000000901,14,20000
74,0.009508098999999604,0.004950815999999136,14,20000
75,0.009234410999999554,0.005033767000000466,15,20000
76,0.009130052999999805,0.004980101000001014,15,20000
77,0.009318312999999634,0.005016601000001231,15,20000
78,0.009212850000000827,0.004963051000000718,15,20000
79,0.009321750999999878,0.004892519000000206,15,20000
80,0.009877503000000232,0.004897579999999735,16,20000
81,0.009917066999999946,0.004928794999999653,16,20000
82,0.009355230000000603,0.004996084000000067,16,20000
83,0.00936633099999895,0.0050452549999988605,16,20000
84,0.009315855000000539,0.004965956999999577,16,20000
85,0.009525876999999738,0.00490552299999969,17,20000
86,0.00945544300000023,0.004887982999999707,17,20000
87,0.009438962000000828,0.004929463999999939,17,20000
88,0.00989169099999998,0.004989611999999255,17,20000
89,0.008925780000000216,0.004956381999999593,17,20000
90,0.00927929600000077,0.004971127000001019,18,20000
91,0.009239485000000158,0.004950698000000031,18,20000
92,0.009263610999999727,0.004932436000000706,18,20000
93,0.009285254999999992,0.0049463089999992604,18,20000
