mxnet,tensorflow,seed,dim
0.07874992899996869,0.0832999290000771,0,500
0.07345329999998285,0.0777844159997585,0,500
0.07325480700001208,0.07552776200009248,0,500
0.07273666599985518,0.07603094900014185,0,500
0.0727454390003004,0.07562495299998773,0,500
0.07754562599984638,0.07769892900023478,1,500
0.07396302200004357,0.08059085300010338,1,500
0.07350207399986175,0.07922576100008882,1,500
0.0740029560001858,0.11248756299983143,1,500
0.0869905170002312,0.1635748329999842,1,500
0.08522671799983073,0.08900608899966755,2,500
0.08373503199982224,0.08822221099990202,2,500
0.08353474700015795,0.08769537899979696,2,500
0.08372505999977875,0.08781336799984274,2,500
0.08453169599988541,0.08270361199993204,2,500
0.060015706999820395,0.08772777000012866,3,500
0.08172549899973092,0.08090808599990851,3,500
0.07909121099964977,0.08432063500004006,3,500
0.06520637500034354,0.08879766800009747,3,500
0.08049235899989071,0.07883489400001054,3,500
0.08244013999956223,0.07886636500006716,4,500
0.07858488700003363,0.08061330800001087,4,500
0.07885995900005582,0.08181148899984692,4,500
0.08432825199997751,0.07816375999982483,4,500
0.07897983799966823,0.07858917999965342,4,500
0.06800506600029621,0.14800268699991648,5,500
0.0932813439999336,0.09297179400027744,5,500
0.07641657000021951,0.07731662800006234,5,500
0.07297660299991549,0.07966096400014067,5,500
0.07265773399967657,0.08419242799982385,5,500
0.0785418479999862,0.08316606200014576,6,500
0.07696076799993534,0.08045119300004444,6,500
0.07469151699979193,0.08104133500000898,6,500
0.07785771800035945,0.08143646600001375,6,500
0.07527019799999835,0.08164708100002827,6,500
0.0766499059996022,0.13359656300008282,7,500
0.08237767199989321,0.07732630999998946,7,500
0.07258867900009136,0.07693507200019667,7,500
0.0719228610000755,0.0767819520001467,7,500
0.07202893800013044,0.0780265819998931,7,500
0.07197319900024013,0.07629881899993052,8,500
0.0753844079999908,0.07676353900023969,8,500
0.07538591499996983,0.07830959900002199,8,500
0.07485920500039356,0.07604234300015378,8,500
0.07604287100002693,0.07897822500035545,8,500
0.08265436099964063,0.07582380900021235,9,500
0.07580922399984047,0.07607218500015733,9,500
0.07582506200014905,0.07706519000021217,9,500
0.07479754899986801,0.0786134109998784,9,500
0.07527074099971287,0.07579267499977504,9,500
0.08267028999989634,0.07566655600021477,10,500
0.07545785299998897,0.07676561200014476,10,500
0.07769247500027632,0.07648931199992148,10,500
0.07440212299979976,0.07639966600027037,10,500
0.07469634000017322,0.07690222900009758,10,500
0.07865781900000002,0.07603281100000459,11,500
0.07695999600036885,0.07653371700007483,11,500
0.07502614700024424,0.07538339199982147,11,500
0.07531836800035308,0.08027517800019268,11,500
0.07539681600019321,0.07634206800003085,11,500
0.0781901669997751,0.0791634580000391,12,500
0.07484056000021155,0.0770007189998978,12,500
0.07216549900022073,0.0765320079999583,12,500
0.07174168099982126,0.07577010699969833,12,500
0.07183126800009632,0.07543347000000722,12,500
0.07795599700011735,0.07686061600043104,13,500
0.07113921000018308,0.07597818700014614,13,500
0.07096470100032093,0.076958330999787,13,500
0.0710920889996487,0.07677056600005017,13,500
0.07124686599991037,0.07637446099988665,13,500
0.07634514999972453,0.07695774500007246,14,500
0.07495130500001324,0.07585500300001513,14,500
0.0748545770002238,0.07597458999998707,14,500
0.07207203899997694,0.07577667699979429,14,500
0.0716615900000761,0.07707609799990678,14,500
0.07473413100024118,0.07706409399997938,15,500
0.07194433899985597,0.07663051300005463,15,500
0.07199693099983051,0.07582932899958905,15,500
0.07189295699981813,0.07643859000017983,15,500
0.07192165500009651,0.07711754400042992,15,500
0.07479716700026984,0.0771904349999204,16,500
0.07194859800029008,0.07716613499997038,16,500
0.0720193899996957,0.07612734800022736,16,500
0.07172311200019976,0.07715550700004314,16,500
0.07186535700020613,0.07706953300021269,16,500
0.07696133699982965,0.07705529400027444,17,500
0.07499394700016637,0.07648302300003706,17,500
0.07435101700002633,0.07616781300021103,17,500
0.07134251100023903,0.07579027399970073,17,500
0.07466419399997903,0.07579076899992288,17,500
0.07591225599981044,0.07736851100025888,18,500
0.07153607200007173,0.07565094000028694,18,500
0.07146047299966085,0.07683062700016308,18,500
0.07216696599971328,0.07483036699977674,18,500
0.0717661759999828,0.07665562300007878,18,500
0.07523440100021617,0.07716480999988562,19,500
0.07169153399991046,0.07468490199971711,19,500
0.07182715199996892,0.07705786899987288,19,500
0.07146624599999996,0.07534939799961649,19,500
0.07175385300024573,0.0769520920002833,19,500
0.07602707800015196,0.08292823800002225,0,3500
0.0767560629997206,0.08954425199999605,0,3500
0.0776095709998117,0.08884001000024,0,3500
0.0787807370002156,0.10470599100017353,0,3500
0.08935053499999412,0.08744273800039082,0,3500
0.09356330700029503,0.08246387999997751,1,3500
0.07463207599994348,0.08608267199997499,1,3500
0.07473416500033636,0.0860413810000864,1,3500
0.07449092499973631,0.08434612599967295,1,3500
0.0737867479997476,0.08449069600010262,1,3500
0.07752136299995982,0.08529160400030378,2,3500
0.07946980499991696,0.211875727000006,2,3500
0.0832119380002041,0.21148950599990712,2,3500
0.08488761799981148,0.17683480000005147,2,3500
0.08662583000023005,0.091000148999683,2,3500
0.08722822599975188,0.09864065100009611,3,3500
0.08978014300009818,0.09537711600023613,3,3500
0.08540546600033849,0.10660602999996627,3,3500
0.08423482200032595,0.09248527899990222,3,3500
0.08453293800039319,0.09525358700011566,3,3500
0.08209156399971107,0.08805673699998806,4,3500
0.07962190999978702,0.0878198259997589,4,3500
0.07992395000019314,0.08433477499966102,4,3500
0.07991139299974748,0.08663068300029408,4,3500
0.07980438000004142,0.08547865699983959,4,3500
0.08180743900038578,0.0849910799997815,5,3500
0.07977093199997398,0.08825338500037105,5,3500
0.07983158900015042,0.08515837200002352,5,3500
0.07977494999977353,0.08405004799988092,5,3500
0.07968173099970954,0.085317262999979,5,3500
0.0816805330000534,0.08651906100021733,6,3500
0.07972653199976776,0.08684494499993889,6,3500
0.07996338000020842,0.08517508600016299,6,3500
0.07965957599981266,0.10034481399998185,6,3500
0.09132287900001756,0.10199263399999836,6,3500
0.08317790299997796,0.09796340000002601,7,3500
0.08789898799977891,0.10250082099992142,7,3500
0.09047852499998044,0.08782102199984365,7,3500
