mxnet,tensorflow,seed,dim
0.0015218350000623104,0.017629781999971783,0,50
0.0023517429999628803,0.016975300000012794,0,50
0.0017508010000710783,0.015820317000020623,0,50
0.0021387379999850964,0.017164697999987766,0,50
0.0016281030000300234,0.016101706999961607,0,50
0.001741589999937787,0.01465805000009368,1,50
0.0013894989999698737,0.01624984099998983,1,50
0.0017708789999915098,0.01391334499999175,1,50
0.0014331129999618497,0.015577867000047263,1,50
0.001893177000056312,0.014166638999995484,1,50
0.001390501000059885,0.016533813000023656,2,50
0.0017483610000681438,0.01392033900003753,2,50
0.0017232129999911194,0.01670075199990606,2,50
0.0014133079999965048,0.013634979000016756,2,50
0.0018322710000120424,0.01658154800009015,2,50
0.001409706999993432,0.014994830999967235,3,50
0.0017689659999859941,0.015268662000039512,3,50
0.0014395020000392833,0.014817761000017526,3,50
0.0017993939999314534,0.015727021999964563,3,50
0.001426471000058882,0.01451343199994426,3,50
0.0018216680000477936,0.01612433599996166,4,50
0.0016154630000073666,0.016747728999916944,4,50
0.0017425510000066424,0.015791699000033077,4,50
0.0016146919999755482,0.017129053999951793,4,50
0.0017344159999765907,0.015691322000066066,4,50
0.0018839350000234845,0.016039865000038844,5,50
0.0014082440000038332,0.015057399000056648,5,50
0.0018544109999538705,0.01614294199998767,5,50
0.001417175000028692,0.014976569000054951,5,50
0.0018118649999223635,0.015645942000105606,5,50
0.0013706009999623348,0.016196784000044318,6,50
0.0017158389999849533,0.014403938999976162,6,50
0.0015377189999981056,0.015399689999981092,6,50
0.001769658999933199,0.014545989999987796,6,50
0.0014330770000015036,0.015286575000004632,6,50
0.001743651000083446,0.014119462000053318,7,50
0.0013677879999249853,0.016192688000046473,7,50
0.001780670000016471,0.014975915000036366,7,50
0.001459559999943849,0.01685528500001965,7,50
0.0017800729999635223,0.01364658700003929,7,50
0.0017690759999595684,0.017425801999934265,8,50
0.0017711130000179764,0.013920487999939724,8,50
0.0017904799999541865,0.016320070000006126,8,50
0.0014460369999369505,0.013848013999904651,8,50
0.0017770489999975325,0.016473487999974168,8,50
0.00140488199997435,0.01502664699989964,9,50
0.0017541989999472207,0.015438967000022785,9,50
0.001447726000037619,0.014591989999985344,9,50
0.0017948690000366696,0.015569645000027776,9,50
0.0014285119999613016,0.014410859999998138,9,50
0.001775657999928626,0.014982691999989584,10,50
0.0015424190000885574,0.015261377999991055,10,50
0.0017648300000701056,0.014804586999957792,10,50
0.0014035750000402913,0.01527218300009281,10,50
