mxnet,tensorflow,seed,dim
0.06735046299991154,0.08286322799995105,0,500
0.06548266099980538,0.07453117099976225,0,500
0.06500343100015016,0.07461096499991982,0,500
0.06510396200019386,0.07294889000013427,0,500
0.06532124700015629,0.07442222999998194,0,500
0.06587811599956694,0.07533272399996349,1,500
0.06498364100025356,0.07423080299986395,1,500
0.06491853199986508,0.07429150799998752,1,500
0.06503609299988966,0.07435057500015319,1,500
0.06477826999980607,0.07346816300014325,1,500
0.06675068399999873,0.07416153800022585,2,500
0.06508228099983171,0.07374124199986909,2,500
0.05924596900013057,0.008760724000239861,2,500
0.004847020999932283,0.008992305999981909,2,500
0.004927732999931322,0.008719311999811907,2,500
0.004898368999874947,0.008806433999779983,3,500
0.004934045000027254,0.008905841000341752,3,500
0.004880630999650748,0.008912535999570537,3,500
0.004842696000196156,0.009096297999803937,3,500
0.005075028999726783,0.00937002399996345,3,500
0.004893601000276249,0.008940065999922808,4,500
0.004848219999985304,0.008664008999858197,4,500
0.004898941000192281,0.008869086000231619,4,500
0.004886412999894674,0.008827044000099704,4,500
0.004857179999817163,0.008999184999993304,4,500
0.004955133999828831,0.008992871999907948,5,500
0.005029909999848314,0.009020657999826653,5,500
0.004916629000035755,0.00905549399976735,5,500
0.004944139000144787,0.009041383999829122,5,500
0.004966393999893626,0.00911040699975274,5,500
0.004992270999991888,0.009052538000105415,6,500
0.004911573999834218,0.009066349000022456,6,500
0.004895986000065022,0.009063992999926995,6,500
0.004897289000382443,0.009061078999820893,6,500
0.00491245200009871,0.009045591999893077,6,500
0.004871140999966883,0.009047419000125956,7,500
0.004890328999863414,0.009014928999931726,7,500
0.004875268999967375,0.008937630000218633,7,500
0.00486371999977564,0.008990643999823078,7,500
0.004927505999603454,0.009055954999894311,7,500
0.004893787999662891,0.009034405999955197,8,500
0.004873017999670992,0.009774057999948127,8,500
0.005566103000091971,0.00924320500007525,8,500
0.005486693000420928,0.00917871899991951,8,500
0.005460163999941869,0.009081646000140609,8,500
0.005476259000261052,0.009357893000014883,9,500
0.00550183899986223,0.009158518000276672,9,500
0.004680942000049981,0.009133385000041017,9,500
0.00479649499993684,0.009117200000218872,9,500
0.00497145500003171,0.009238518999609369,9,500
